time raw_flux bkg_flux res_flux "position angle"
55949.90715678 184816.66415429115 4900.705972731113 179915.95818156004 224.535599
55949.90853382 185557.49531650543 4704.081775248051 180853.41354125738 224.535599
55949.90991123 185666.21131920815 4488.246931433678 181177.96438777447 224.535599
55949.91128863 185760.4028351307 4376.530522108078 181383.8723130226 224.535599
55949.91266604 185966.1380457878 4369.557291224599 181596.5807545632 224.535599
55949.91404308 186062.6796439886 4350.540268316865 181712.13937567174 224.535599
55949.91542048 186104.36258673668 4319.3119639754295 181785.05062276125 224.535599
55949.91679789 186208.0610871315 4315.641421318054 181892.41966581345 224.535599
55949.9181753 186168.20543253422 4299.021866038442 181869.18356649578 224.535599
55949.91955234 186166.00122249126 4283.28237952292 181882.71884296834 224.535599
55949.92092974 186185.31560862064 4302.015221223235 181883.3003873974 224.535599
55949.92230715 186331.8713438511 4309.620698854327 182022.25064499676 224.535599
55949.92368456 186334.48081815243 4297.516598179936 182036.9642199725 224.535599
55949.9250616 186350.58003389835 4299.436202019453 182051.1438318789 224.535599
55949.926439 186410.33481669426 4293.891722537577 182116.44309415668 224.535599
55949.92781641 186386.94680857658 4299.402684301138 182087.54412427545 224.535599
55949.92919382 186415.48939454556 4292.510749176145 182122.9786453694 224.535599
55949.93057085 186480.25440442562 4278.917172640562 182201.33723178506 224.535599
55949.93194826 186418.16528439522 4286.67843413353 182131.4868502617 224.535599
55949.93332567 186526.085973382 4271.710917621851 182254.37505576015 224.535599
55949.93470308 186469.90926265717 4288.707348808646 182181.20191384852 224.535599
55949.93608011 186476.06996262074 4286.798615202308 182189.27134741843 224.535599
55949.93745752 186523.17024296522 4250.6388304792345 182272.531412486 224.535599
55949.97094123 187104.38019442558 5603.332976445556 181501.04721798003 224.535599
55949.97231863 187278.1986064911 5321.336201548576 181956.8624049425 224.535599
55949.97369604 186969.0837945938 5078.439095690846 181890.64469890296 224.535599
55949.97507345 186871.59620928764 4834.938139349222 182036.65806993842 224.535599
55949.97645048 186715.94798731804 4655.18980653584 182060.7581807822 224.535599
55949.97782789 186578.10604166985 4483.532750383019 182094.57329128683 224.535599
55949.9792053 186493.52078807354 4377.561525866389 182115.95926220715 224.535599
55949.98058271 186542.37419617176 4351.903292059898 182190.47090411186 224.535599
55949.98195974 186570.25313305855 4337.653448283672 182232.59968477488 224.535599
55949.98333715 186448.84253942966 4299.283420331776 182149.5591190979 224.535599
55949.98471456 186488.8038775921 4296.84363694489 182191.9602406472 224.535599
55949.98609197 186479.09602475166 4323.6033691465855 182155.49265560508 224.535599
55949.987469 186515.54199624062 4319.67524112761 182195.866755113 224.535599
55949.98884641 186443.24464213848 4295.938029974699 182147.30661216378 224.535599
55949.99022382 186455.13075780869 4304.141175381839 182150.98958242685 224.535599
55949.99160123 186572.93929243088 4297.327252671123 182275.61203975976 224.535599
55949.99297826 186560.33694207668 4296.118935938925 182264.21800613776 224.535599
55949.99435567 186566.91492331028 4312.56979124248 182254.3451320678 224.535599
55949.99573308 186609.34391111135 4294.21517701447 182315.12873409688 224.535599
55949.99711048 186606.06035339832 4299.864475645125 182306.1958777532 224.535599
55949.99848752 186569.80962264538 4288.333539664745 182281.47608298063 224.535599
55949.99986493 186537.19017112255 4305.852022513747 182231.3381486088 224.535599
55950.00124234 186654.51987624168 4298.323201775551 182356.19667446613 224.535599
55950.00261974 186625.97102344036 4293.8697774112225 182332.10124602914 224.535599
